273. MQOM, DILITHIUM, SPHINCS: 685 ms
274. QRUOV, DILITHIUM, SPHINCS: 686 ms
275. PERK, HAWK, SPHINCS: 686 ms
276. MQOM, HAWK, SPHINCS: 686 ms
277. MAYO, PERK, SPHINCS: 689 ms
278. PERK, DILITHIUM, SPHINCS: 690 ms
279. SNOVA, PERK, SPHINCS: 691 ms
280. PERK, FALCON, SPHINCS: 691 ms
281. QRUOV, MQOM, SPHINCS: 694 ms
282. QRUOV, PERK, SPHINCS: 697 ms
283. MAYO, RYDE, SPHINCS: 703 ms
284. RYDE, HAWK, SPHINCS: 703 ms
285. RYDE, FALCON, SPHINCS: 706 ms
286. SNOVA, RYDE, SPHINCS: 707 ms
287. RYDE, DILITHIUM, SPHINCS: 708 ms
288. QRUOV, RYDE, SPHINCS: 711 ms
289. CROSS, MAYO, SPHINCS: 740 ms
290. CROSS, SNOVA, SPHINCS: 743 ms
291. FALCON, SPHINCS, SQISIGN: 745 ms
292. CROSS, MQOM, SPHINCS: 747 ms
293. MAYO, SPHINCS, SQISIGN: 747 ms
294. DILITHIUM, SPHINCS, SQISIGN: 749 ms
295. HAWK, SPHINCS, SQISIGN: 752 ms
296. CROSS, QRUOV, SPHINCS: 755 ms
297. MQOM, SPHINCS, SQISIGN: 755 ms
298. CROSS, PERK, SPHINCS: 756 ms
299. QRUOV, SPHINCS, SQISIGN: 756 ms
300. CROSS, SDITH, SPHINCS: 757 ms
301. SNOVA, SDITH, SPHINCS: 759 ms
302. CROSS, SPHINCS, SQISIGN: 762 ms
303. MAYO, SDITH, SPHINCS: 763 ms
304. PERK, SPHINCS, SQISIGN: 763 ms
305. SDITH, HAWK, SPHINCS: 768 ms
306. SDITH, DILITHIUM, SPHINCS: 769 ms
307. LESS, HAWK, SPHINCS: 770 ms
308. QRUOV, SDITH, SPHINCS: 770 ms
309. SNOVA, SPHINCS, SQISIGN: 770 ms
310. SDITH, FALCON, SPHINCS: 770 ms
311. CROSS, RYDE, SPHINCS: 772 ms
312. LESS, DILITHIUM, SPHINCS: 772 ms
313. RYDE, SPHINCS, SQISIGN: 773 ms
314. LESS, FALCON, SPHINCS: 774 ms
315. LESS, MQOM, SPHINCS: 783 ms
316. LESS, PERK, SPHINCS: 785 ms
317. LESS, RYDE, SPHINCS: 796 ms
318. LESS, SPHINCS, SQISIGN: 842 ms
319. LESS, SNOVA, SPHINCS: 843 ms
320. SDITH, SPHINCS, SQISIGN: 843 ms
321. LESS, MAYO, SPHINCS: 848 ms
322. LESS, QRUOV, SPHINCS: 850 ms
323. LESS, SDITH, SPHINCS: 856 ms
324. MIRATH, FALCON, SPHINCS: 968 ms
325. MIRATH, DILITHIUM, SPHINCS: 970 ms
326. SNOVA, MIRATH, SPHINCS: 974 ms
327. MAYO, MIRATH, SPHINCS: 976 ms
328. MIRATH, HAWK, SPHINCS: 978 ms
329. QRUOV, MIRATH, SPHINCS: 979 ms
330. MIRATH, SPHINCS, SQISIGN: 1041 ms
331. LESS, MIRATH, SPHINCS: 1055 ms
332. CROSS, MIRATH, SPHINCS: 1060 ms
